,datetime,true_aqi,predicted_aqi,city
3129,2024-02-03 13:00:00,4,4,Bangkok
3130,2024-02-03 14:00:00,4,4,Bangkok
3131,2024-02-03 14:00:00,5,5,Chiang Mai
3133,2024-02-03 15:00:00,3,3,Chiang Mai
3132,2024-02-03 15:00:00,5,5,Bangkok
3134,2024-02-03 16:00:00,3,3,Bangkok
3135,2024-02-03 16:00:00,5,5,Chiang Mai
3136,2024-02-03 17:00:00,4,3,Bangkok
3137,2024-02-03 17:00:00,5,5,Chiang Mai
3138,2024-02-03 18:00:00,5,5,Chiang Mai
3139,2024-02-03 18:00:00,4,4,Bangkok
3140,2024-02-03 19:00:00,5,5,Chiang Mai
3141,2024-02-03 19:00:00,5,5,Bangkok
3142,2024-02-03 20:00:00,4,4,Chiang Mai
3143,2024-02-03 20:00:00,1,1,Bangkok
3145,2024-02-03 21:00:00,2,2,Bangkok
3144,2024-02-03 21:00:00,4,5,Chiang Mai
3147,2024-02-03 22:00:00,5,5,Chiang Mai
3146,2024-02-03 22:00:00,3,3,Bangkok
3148,2024-02-03 23:00:00,5,4,Bangkok
3149,2024-02-03 23:00:00,5,5,Chiang Mai
3150,2024-02-04 00:00:00,4,4,Bangkok
3151,2024-02-04 00:00:00,5,5,Chiang Mai
3152,2024-02-04 01:00:00,5,5,Chiang Mai
3153,2024-02-04 01:00:00,4,4,Bangkok
3154,2024-02-04 02:00:00,2,3,Bangkok
3155,2024-02-04 02:00:00,5,4,Chiang Mai
3156,2024-02-04 03:00:00,1,3,Chiang Mai
3157,2024-02-04 03:00:00,2,2,Bangkok
3158,2024-02-04 04:00:00,5,5,Bangkok
3159,2024-02-04 04:00:00,2,2,Chiang Mai
3161,2024-02-04 05:00:00,3,3,Bangkok
3160,2024-02-04 05:00:00,5,5,Chiang Mai
3162,2024-02-04 06:00:00,4,4,Bangkok
3163,2024-02-04 06:00:00,5,5,Chiang Mai
3164,2024-02-04 07:00:00,5,5,Bangkok
3165,2024-02-04 07:00:00,5,5,Chiang Mai
3166,2024-02-04 08:00:00,3,1,Bangkok
3167,2024-02-04 08:00:00,5,5,Chiang Mai
3168,2024-02-04 09:00:00,5,5,Chiang Mai
3169,2024-02-04 09:00:00,4,4,Bangkok
3170,2024-02-04 10:00:00,4,4,Chiang Mai
3171,2024-02-04 10:00:00,3,3,Bangkok
3173,2024-02-04 11:00:00,4,4,Bangkok
3172,2024-02-04 11:00:00,5,5,Chiang Mai
3174,2024-02-04 12:00:00,3,3,Bangkok
3175,2024-02-04 12:00:00,3,3,Chiang Mai
3176,2024-02-04 13:00:00,5,5,Chiang Mai
3177,2024-02-04 13:00:00,4,4,Bangkok
3178,2024-02-04 14:00:00,5,5,Bangkok
3179,2024-02-04 14:00:00,5,5,Chiang Mai
3180,2024-02-04 15:00:00,5,5,Bangkok
3181,2024-02-04 15:00:00,3,3,Chiang Mai
3182,2024-02-04 16:00:00,5,5,Chiang Mai
3183,2024-02-04 16:00:00,4,3,Bangkok
3185,2024-02-04 17:00:00,4,4,Bangkok
3184,2024-02-04 17:00:00,5,5,Chiang Mai
3186,2024-02-04 18:00:00,5,5,Bangkok
3187,2024-02-04 18:00:00,2,2,Chiang Mai
3188,2024-02-04 19:00:00,2,2,Chiang Mai
3189,2024-02-04 19:00:00,5,5,Bangkok
3190,2024-02-04 20:00:00,5,5,Bangkok
3191,2024-02-04 20:00:00,4,5,Chiang Mai
3192,2024-02-04 21:00:00,5,5,Chiang Mai
3193,2024-02-04 21:00:00,5,5,Bangkok
3195,2024-02-04 22:00:00,4,4,Chiang Mai
3194,2024-02-04 22:00:00,4,5,Bangkok
3197,2024-02-04 23:00:00,3,3,Bangkok
3196,2024-02-04 23:00:00,5,5,Chiang Mai
3198,2024-02-05 00:00:00,5,5,Bangkok
3199,2024-02-05 00:00:00,4,4,Chiang Mai
3200,2024-02-05 01:00:00,4,5,Chiang Mai
3201,2024-02-05 01:00:00,5,5,Bangkok
3202,2024-02-05 02:00:00,5,5,Bangkok
3203,2024-02-05 02:00:00,3,3,Chiang Mai
3204,2024-02-05 03:00:00,3,2,Chiang Mai
3205,2024-02-05 03:00:00,5,5,Bangkok
3206,2024-02-05 04:00:00,4,5,Chiang Mai
3207,2024-02-05 04:00:00,3,2,Bangkok
3209,2024-02-05 05:00:00,4,4,Bangkok
3208,2024-02-05 05:00:00,4,5,Chiang Mai
3210,2024-02-05 06:00:00,4,4,Chiang Mai
3211,2024-02-05 06:00:00,5,5,Bangkok
3212,2024-02-05 07:00:00,5,5,Bangkok
3213,2024-02-05 07:00:00,5,5,Chiang Mai
3214,2024-02-05 08:00:00,5,5,Chiang Mai
3215,2024-02-05 08:00:00,3,3,Bangkok
3216,2024-02-05 09:00:00,5,5,Chiang Mai
3217,2024-02-05 09:00:00,3,4,Bangkok
3218,2024-02-05 10:00:00,5,5,Chiang Mai
3219,2024-02-05 10:00:00,3,2,Bangkok
3221,2024-02-05 11:00:00,5,5,Bangkok
3220,2024-02-05 11:00:00,4,4,Chiang Mai
3222,2024-02-05 12:00:00,4,3,Chiang Mai
3223,2024-02-05 12:00:00,4,4,Bangkok
3224,2024-02-05 13:00:00,5,5,Chiang Mai
3225,2024-02-05 13:00:00,5,5,Bangkok
3226,2024-02-05 14:00:00,1,1,Chiang Mai
3227,2024-02-05 14:00:00,4,4,Bangkok
3228,2024-02-05 15:00:00,5,5,Chiang Mai
3229,2024-02-05 15:00:00,4,3,Bangkok
3230,2024-02-05 16:00:00,5,5,Chiang Mai
3231,2024-02-05 16:00:00,4,4,Bangkok
3233,2024-02-05 17:00:00,5,5,Bangkok
3232,2024-02-05 17:00:00,3,3,Chiang Mai
3234,2024-02-05 18:00:00,5,5,Chiang Mai
3235,2024-02-05 18:00:00,5,5,Bangkok
3236,2024-02-05 19:00:00,5,5,Chiang Mai
3237,2024-02-05 19:00:00,5,5,Bangkok
3238,2024-02-05 20:00:00,3,3,Chiang Mai
3239,2024-02-05 20:00:00,4,4,Bangkok
3240,2024-02-05 21:00:00,4,4,Chiang Mai
3241,2024-02-05 21:00:00,5,5,Bangkok
3242,2024-02-05 22:00:00,5,5,Chiang Mai
3243,2024-02-05 22:00:00,5,5,Bangkok
3244,2024-02-05 23:00:00,5,5,Bangkok
3245,2024-02-05 23:00:00,4,5,Chiang Mai
3246,2024-02-06 00:00:00,5,5,Chiang Mai
3247,2024-02-06 00:00:00,5,5,Bangkok
3248,2024-02-06 01:00:00,3,3,Chiang Mai
3249,2024-02-06 01:00:00,5,5,Bangkok
3251,2024-02-06 02:00:00,5,5,Bangkok
3250,2024-02-06 02:00:00,2,3,Chiang Mai
3252,2024-02-06 03:00:00,5,5,Chiang Mai
3253,2024-02-06 03:00:00,2,3,Bangkok
3254,2024-02-06 04:00:00,5,5,Chiang Mai
3255,2024-02-06 04:00:00,5,5,Bangkok
3256,2024-02-06 05:00:00,5,5,Chiang Mai
3257,2024-02-06 05:00:00,5,5,Bangkok
3258,2024-02-06 06:00:00,4,5,Chiang Mai
3259,2024-02-06 06:00:00,4,4,Bangkok
3260,2024-02-06 07:00:00,5,5,Chiang Mai
3261,2024-02-06 07:00:00,4,5,Bangkok
3263,2024-02-06 08:00:00,5,5,Bangkok
3262,2024-02-06 08:00:00,5,5,Chiang Mai
3264,2024-02-06 09:00:00,4,4,Chiang Mai
3265,2024-02-06 09:00:00,5,5,Bangkok
3266,2024-02-06 10:00:00,5,5,Chiang Mai
3267,2024-02-06 10:00:00,4,4,Bangkok
3268,2024-02-06 11:00:00,3,4,Chiang Mai
3269,2024-02-06 11:00:00,2,2,Bangkok
3270,2024-02-06 12:00:00,4,5,Chiang Mai
3271,2024-02-06 12:00:00,5,5,Bangkok
3272,2024-02-06 13:00:00,4,4,Chiang Mai
3273,2024-02-06 13:00:00,5,5,Bangkok
3275,2024-02-06 14:00:00,4,4,Bangkok
3274,2024-02-06 14:00:00,4,4,Chiang Mai
3276,2024-02-06 15:00:00,5,5,Bangkok
3277,2024-02-06 15:00:00,5,5,Chiang Mai
3278,2024-02-06 16:00:00,4,3,Chiang Mai
3279,2024-02-06 16:00:00,5,5,Bangkok
3280,2024-02-06 17:00:00,4,4,Chiang Mai
3281,2024-02-06 17:00:00,5,4,Bangkok
3282,2024-02-06 18:00:00,2,3,Chiang Mai
3283,2024-02-06 18:00:00,4,4,Bangkok
3284,2024-02-06 19:00:00,5,5,Chiang Mai
3285,2024-02-06 19:00:00,3,3,Bangkok
3287,2024-02-06 20:00:00,3,3,Bangkok
3286,2024-02-06 20:00:00,5,5,Chiang Mai
3288,2024-02-06 21:00:00,5,5,Chiang Mai
3289,2024-02-06 21:00:00,2,2,Bangkok
3290,2024-02-06 22:00:00,4,5,Bangkok
3291,2024-02-06 22:00:00,4,5,Chiang Mai
3292,2024-02-06 23:00:00,4,4,Chiang Mai
3293,2024-02-06 23:00:00,4,5,Bangkok
3294,2024-02-07 00:00:00,4,4,Chiang Mai
3295,2024-02-07 00:00:00,3,3,Bangkok
3296,2024-02-07 01:00:00,4,4,Chiang Mai
3297,2024-02-07 01:00:00,4,5,Bangkok
3299,2024-02-07 02:00:00,1,1,Bangkok
3298,2024-02-07 02:00:00,4,4,Chiang Mai
3301,2024-02-07 03:00:00,5,5,Bangkok
3300,2024-02-07 03:00:00,4,3,Chiang Mai
3302,2024-02-07 04:00:00,5,5,Chiang Mai
3303,2024-02-07 04:00:00,2,2,Bangkok
3304,2024-02-07 05:00:00,5,5,Bangkok
3305,2024-02-07 05:00:00,2,2,Chiang Mai
3306,2024-02-07 06:00:00,5,5,Chiang Mai
3307,2024-02-07 06:00:00,5,5,Bangkok
3308,2024-02-07 07:00:00,2,2,Bangkok
3309,2024-02-07 07:00:00,4,4,Chiang Mai
3310,2024-02-07 08:00:00,5,5,Bangkok
3311,2024-02-07 08:00:00,4,5,Chiang Mai
3313,2024-02-07 09:00:00,5,5,Chiang Mai
3312,2024-02-07 09:00:00,4,5,Bangkok
3314,2024-02-07 10:00:00,5,5,Bangkok
3315,2024-02-07 10:00:00,4,5,Chiang Mai
3316,2024-02-07 11:00:00,4,5,Chiang Mai
3317,2024-02-07 11:00:00,5,5,Bangkok
3318,2024-02-07 12:00:00,4,4,Bangkok
3319,2024-02-07 12:00:00,3,3,Chiang Mai
3320,2024-02-07 13:00:00,3,3,Chiang Mai
3321,2024-02-07 13:00:00,4,4,Bangkok
3322,2024-02-07 14:00:00,4,4,Bangkok
3323,2024-02-07 14:00:00,4,5,Chiang Mai
3325,2024-02-07 15:00:00,3,2,Bangkok
3324,2024-02-07 15:00:00,5,5,Chiang Mai
3326,2024-02-07 16:00:00,5,5,Chiang Mai
3327,2024-02-07 16:00:00,4,5,Bangkok
3328,2024-02-07 17:00:00,5,5,Chiang Mai
3329,2024-02-07 17:00:00,2,2,Bangkok
3330,2024-02-07 18:00:00,4,4,Bangkok
3331,2024-02-07 18:00:00,1,2,Chiang Mai
3332,2024-02-07 19:00:00,5,5,Bangkok
3333,2024-02-07 19:00:00,5,4,Chiang Mai
3334,2024-02-07 20:00:00,5,3,Bangkok
3335,2024-02-07 20:00:00,3,3,Chiang Mai
3337,2024-02-07 21:00:00,4,5,Bangkok
3336,2024-02-07 21:00:00,5,5,Chiang Mai
3338,2024-02-07 22:00:00,5,5,Bangkok
3339,2024-02-07 22:00:00,4,4,Chiang Mai
3340,2024-02-07 23:00:00,5,5,Bangkok
3341,2024-02-07 23:00:00,5,5,Chiang Mai
3342,2024-02-08 00:00:00,3,4,Bangkok
3343,2024-02-08 00:00:00,4,3,Chiang Mai
3344,2024-02-08 01:00:00,4,3,Chiang Mai
3345,2024-02-08 01:00:00,5,5,Bangkok
3346,2024-02-08 02:00:00,3,3,Bangkok
3347,2024-02-08 02:00:00,4,4,Chiang Mai
3348,2024-02-08 03:00:00,3,2,Chiang Mai
3349,2024-02-08 03:00:00,5,5,Bangkok
3351,2024-02-08 04:00:00,4,4,Chiang Mai
3350,2024-02-08 04:00:00,5,5,Bangkok
3352,2024-02-08 05:00:00,5,5,Chiang Mai
3353,2024-02-08 05:00:00,4,5,Bangkok
3354,2024-02-08 06:00:00,2,2,Bangkok
3355,2024-02-08 06:00:00,4,4,Chiang Mai
3356,2024-02-08 07:00:00,4,4,Bangkok
3357,2024-02-08 07:00:00,5,5,Chiang Mai
3358,2024-02-08 08:00:00,3,5,Bangkok
3359,2024-02-08 08:00:00,5,5,Chiang Mai
3360,2024-02-08 09:00:00,4,4,Chiang Mai
3361,2024-02-08 09:00:00,5,5,Bangkok
3363,2024-02-08 10:00:00,5,5,Chiang Mai
3362,2024-02-08 10:00:00,5,5,Bangkok
3364,2024-02-08 11:00:00,5,5,Chiang Mai
3365,2024-02-08 11:00:00,3,3,Bangkok
3366,2024-02-08 12:00:00,3,3,Bangkok
3367,2024-02-08 12:00:00,4,3,Chiang Mai
3368,2024-02-08 13:00:00,5,5,Chiang Mai
3369,2024-02-08 13:00:00,2,2,Bangkok
3370,2024-02-08 14:00:00,4,5,Chiang Mai
3371,2024-02-08 14:00:00,5,4,Bangkok
3372,2024-02-08 15:00:00,5,5,Bangkok
3373,2024-02-08 15:00:00,5,5,Chiang Mai
3375,2024-02-08 16:00:00,1,1,Bangkok
3374,2024-02-08 16:00:00,4,5,Chiang Mai
3376,2024-02-08 17:00:00,5,5,Chiang Mai
3377,2024-02-08 17:00:00,4,4,Bangkok
3378,2024-02-08 18:00:00,5,5,Bangkok
3379,2024-02-08 18:00:00,2,2,Chiang Mai
3380,2024-02-08 19:00:00,5,5,Chiang Mai
3381,2024-02-08 19:00:00,5,3,Bangkok
3382,2024-02-08 20:00:00,5,5,Bangkok
3383,2024-02-08 20:00:00,5,5,Chiang Mai
3384,2024-02-08 21:00:00,5,5,Chiang Mai
3385,2024-02-08 21:00:00,5,5,Bangkok
3387,2024-02-08 22:00:00,2,2,Chiang Mai
3386,2024-02-08 22:00:00,5,5,Bangkok
3388,2024-02-08 23:00:00,2,3,Chiang Mai
3389,2024-02-08 23:00:00,5,5,Bangkok
3390,2024-02-09 00:00:00,5,5,Bangkok
3391,2024-02-09 00:00:00,5,5,Chiang Mai
3392,2024-02-09 01:00:00,5,5,Chiang Mai
3393,2024-02-09 01:00:00,5,5,Bangkok
3394,2024-02-09 02:00:00,5,5,Bangkok
3395,2024-02-09 02:00:00,5,4,Chiang Mai
3396,2024-02-09 03:00:00,4,5,Chiang Mai
3397,2024-02-09 03:00:00,5,5,Bangkok
3399,2024-02-09 04:00:00,4,4,Chiang Mai
3398,2024-02-09 04:00:00,5,5,Bangkok
3401,2024-02-09 05:00:00,3,3,Bangkok
3400,2024-02-09 05:00:00,4,5,Chiang Mai
3402,2024-02-09 06:00:00,2,5,Bangkok
3403,2024-02-09 06:00:00,1,1,Chiang Mai
3404,2024-02-09 07:00:00,5,5,Bangkok
3405,2024-02-09 07:00:00,5,5,Chiang Mai
3406,2024-02-09 08:00:00,5,4,Bangkok
3407,2024-02-09 08:00:00,4,3,Chiang Mai
3408,2024-02-09 09:00:00,3,4,Chiang Mai
3409,2024-02-09 09:00:00,5,5,Bangkok
3410,2024-02-09 10:00:00,5,5,Bangkok
3411,2024-02-09 10:00:00,2,2,Chiang Mai
3413,2024-02-09 11:00:00,3,4,Bangkok
3412,2024-02-09 11:00:00,5,5,Chiang Mai
3414,2024-02-09 12:00:00,5,4,Chiang Mai
3415,2024-02-09 12:00:00,3,2,Bangkok
3416,2024-02-09 13:00:00,4,4,Chiang Mai
3417,2024-02-09 13:00:00,5,5,Bangkok
3418,2024-02-09 14:00:00,4,4,Bangkok
3419,2024-02-09 14:00:00,4,4,Chiang Mai
3420,2024-02-09 15:00:00,2,3,Bangkok
3421,2024-02-09 15:00:00,5,5,Chiang Mai
3422,2024-02-09 16:00:00,4,4,Bangkok
3423,2024-02-09 16:00:00,5,5,Chiang Mai
3425,2024-02-09 17:00:00,5,5,Bangkok
3424,2024-02-09 17:00:00,5,5,Chiang Mai
3426,2024-02-09 18:00:00,2,3,Bangkok
3427,2024-02-09 18:00:00,4,5,Chiang Mai
3428,2024-02-09 19:00:00,3,3,Chiang Mai
3429,2024-02-09 19:00:00,5,5,Bangkok
3430,2024-02-09 20:00:00,3,3,Bangkok
3431,2024-02-09 20:00:00,3,3,Chiang Mai
3432,2024-02-09 21:00:00,5,5,Chiang Mai
3433,2024-02-09 21:00:00,3,3,Bangkok
3434,2024-02-09 22:00:00,5,5,Bangkok
3435,2024-02-09 22:00:00,5,5,Chiang Mai
3437,2024-02-09 23:00:00,3,4,Chiang Mai
3436,2024-02-09 23:00:00,4,5,Bangkok
3438,2024-02-10 00:00:00,4,4,Bangkok
3439,2024-02-10 00:00:00,5,5,Chiang Mai
3440,2024-02-10 01:00:00,5,5,Chiang Mai
3441,2024-02-10 01:00:00,5,5,Bangkok
3442,2024-02-10 02:00:00,5,5,Bangkok
3443,2024-02-10 02:00:00,5,5,Chiang Mai
3444,2024-02-10 03:00:00,5,5,Chiang Mai
3445,2024-02-10 03:00:00,5,5,Bangkok
3446,2024-02-10 04:00:00,5,5,Bangkok
3447,2024-02-10 04:00:00,5,5,Chiang Mai
3448,2024-02-10 05:00:00,5,5,Chiang Mai
3449,2024-02-10 05:00:00,4,4,Bangkok
3450,2024-02-10 06:00:00,5,5,Bangkok
3451,2024-02-10 06:00:00,5,5,Chiang Mai
3453,2024-02-10 07:00:00,5,5,Bangkok
3452,2024-02-10 07:00:00,5,5,Chiang Mai
3454,2024-02-10 08:00:00,5,5,Chiang Mai
3455,2024-02-10 08:00:00,5,5,Bangkok
3456,2024-02-10 09:00:00,5,5,Chiang Mai
3457,2024-02-10 09:00:00,2,2,Bangkok
3458,2024-02-10 10:00:00,4,4,Bangkok
3459,2024-02-10 10:00:00,5,5,Chiang Mai
3460,2024-02-10 11:00:00,5,5,Chiang Mai
3461,2024-02-10 11:00:00,5,4,Bangkok
3462,2024-02-10 12:00:00,4,4,Bangkok
3463,2024-02-10 12:00:00,4,3,Chiang Mai
3465,2024-02-10 13:00:00,5,5,Bangkok
3464,2024-02-10 13:00:00,5,5,Chiang Mai
3466,2024-02-10 14:00:00,5,5,Bangkok
3467,2024-02-10 14:00:00,5,5,Chiang Mai
3468,2024-02-10 15:00:00,4,4,Bangkok
3469,2024-02-10 15:00:00,4,4,Chiang Mai
3470,2024-02-10 16:00:00,5,5,Bangkok
3471,2024-02-10 16:00:00,5,5,Chiang Mai
3472,2024-02-10 17:00:00,5,4,Chiang Mai
3473,2024-02-10 17:00:00,5,5,Bangkok
3474,2024-02-10 18:00:00,5,5,Chiang Mai
3475,2024-02-10 18:00:00,4,4,Bangkok
3477,2024-02-10 19:00:00,5,5,Bangkok
3476,2024-02-10 19:00:00,5,5,Chiang Mai
3478,2024-02-10 20:00:00,4,4,Chiang Mai
3479,2024-02-10 20:00:00,3,3,Bangkok
3480,2024-02-10 21:00:00,5,5,Chiang Mai
3481,2024-02-10 21:00:00,5,5,Bangkok
3482,2024-02-10 22:00:00,3,3,Chiang Mai
3483,2024-02-10 22:00:00,5,5,Bangkok
3484,2024-02-10 23:00:00,5,5,Chiang Mai
3485,2024-02-10 23:00:00,5,4,Bangkok
3486,2024-02-11 00:00:00,4,4,Chiang Mai
3487,2024-02-11 00:00:00,5,5,Bangkok
3489,2024-02-11 01:00:00,5,5,Bangkok
3488,2024-02-11 01:00:00,5,5,Chiang Mai
3490,2024-02-11 02:00:00,5,5,Chiang Mai
3491,2024-02-11 02:00:00,2,3,Bangkok
3492,2024-02-11 03:00:00,5,4,Chiang Mai
3493,2024-02-11 03:00:00,5,5,Bangkok
3494,2024-02-11 04:00:00,3,3,Bangkok
3495,2024-02-11 04:00:00,4,4,Chiang Mai
3496,2024-02-11 05:00:00,4,4,Chiang Mai
3497,2024-02-11 05:00:00,5,5,Bangkok
3498,2024-02-11 06:00:00,5,5,Chiang Mai
3499,2024-02-11 06:00:00,5,5,Bangkok
3500,2024-02-11 07:00:00,5,5,Bangkok
3501,2024-02-11 07:00:00,5,5,Chiang Mai
3503,2024-02-11 08:00:00,5,5,Bangkok
3502,2024-02-11 08:00:00,5,5,Chiang Mai
3504,2024-02-11 09:00:00,4,4,Chiang Mai
3505,2024-02-11 09:00:00,5,5,Bangkok
3506,2024-02-11 10:00:00,2,2,Chiang Mai
3507,2024-02-11 10:00:00,4,4,Bangkok
3508,2024-02-11 11:00:00,5,5,Chiang Mai
3509,2024-02-11 11:00:00,5,5,Bangkok
3510,2024-02-11 12:00:00,3,2,Chiang Mai
3511,2024-02-11 12:00:00,4,4,Bangkok
3512,2024-02-11 13:00:00,5,5,Chiang Mai
3513,2024-02-11 13:00:00,4,4,Bangkok
3515,2024-02-11 14:00:00,5,5,Bangkok
3514,2024-02-11 14:00:00,1,1,Chiang Mai
3516,2024-02-11 15:00:00,4,4,Bangkok
3517,2024-02-11 15:00:00,4,4,Chiang Mai
3518,2024-02-11 16:00:00,5,5,Chiang Mai
3519,2024-02-11 16:00:00,5,5,Bangkok
3520,2024-02-11 17:00:00,5,5,Chiang Mai
3521,2024-02-11 17:00:00,4,4,Bangkok
3522,2024-02-11 18:00:00,5,4,Chiang Mai
3523,2024-02-11 18:00:00,5,5,Bangkok
3524,2024-02-11 19:00:00,5,5,Chiang Mai
3525,2024-02-11 19:00:00,5,4,Bangkok
3526,2024-02-11 20:00:00,5,5,Chiang Mai
3527,2024-02-11 20:00:00,4,4,Bangkok
3529,2024-02-11 21:00:00,5,5,Bangkok
3528,2024-02-11 21:00:00,2,2,Chiang Mai
3530,2024-02-11 22:00:00,3,2,Chiang Mai
3531,2024-02-11 22:00:00,5,5,Bangkok
3532,2024-02-11 23:00:00,5,5,Bangkok
3533,2024-02-11 23:00:00,5,5,Chiang Mai
3534,2024-02-12 00:00:00,5,5,Chiang Mai
3535,2024-02-12 00:00:00,4,4,Bangkok
3536,2024-02-12 01:00:00,5,5,Chiang Mai
3537,2024-02-12 01:00:00,2,2,Bangkok
3538,2024-02-12 02:00:00,2,2,Chiang Mai
3539,2024-02-12 02:00:00,5,5,Bangkok
3541,2024-02-12 03:00:00,5,5,Bangkok
3540,2024-02-12 03:00:00,1,1,Chiang Mai
3542,2024-02-12 04:00:00,3,2,Chiang Mai
3543,2024-02-12 04:00:00,5,5,Bangkok
3544,2024-02-12 05:00:00,5,5,Chiang Mai
3545,2024-02-12 05:00:00,5,5,Bangkok
3546,2024-02-12 06:00:00,2,2,Chiang Mai
3547,2024-02-12 06:00:00,5,5,Bangkok
3548,2024-02-12 07:00:00,4,2,Bangkok
3549,2024-02-12 07:00:00,5,5,Chiang Mai
3550,2024-02-12 08:00:00,5,5,Chiang Mai
3551,2024-02-12 08:00:00,4,4,Bangkok
3553,2024-02-12 09:00:00,3,3,Bangkok
3552,2024-02-12 09:00:00,3,3,Chiang Mai
3555,2024-02-12 10:00:00,5,5,Bangkok
3554,2024-02-12 10:00:00,2,1,Chiang Mai
3556,2024-02-12 11:00:00,5,5,Chiang Mai
3557,2024-02-12 11:00:00,2,1,Bangkok
3558,2024-02-12 12:00:00,5,5,Chiang Mai
3559,2024-02-12 12:00:00,4,3,Bangkok
3560,2024-02-12 13:00:00,5,5,Chiang Mai
3561,2024-02-12 13:00:00,5,5,Bangkok
3562,2024-02-12 14:00:00,3,3,Chiang Mai
3563,2024-02-12 14:00:00,3,3,Bangkok
3564,2024-02-12 15:00:00,5,5,Bangkok
3565,2024-02-12 15:00:00,4,5,Chiang Mai
3566,2024-02-12 16:00:00,5,5,Chiang Mai
3567,2024-02-12 16:00:00,5,5,Bangkok
3569,2024-02-12 17:00:00,5,5,Bangkok
3568,2024-02-12 17:00:00,1,1,Chiang Mai
3570,2024-02-12 18:00:00,5,5,Chiang Mai
3571,2024-02-12 18:00:00,5,5,Bangkok
3572,2024-02-12 19:00:00,4,4,Chiang Mai
3573,2024-02-12 19:00:00,5,5,Bangkok
3574,2024-02-12 20:00:00,3,3,Chiang Mai
3575,2024-02-12 20:00:00,5,5,Bangkok
3576,2024-02-12 21:00:00,5,5,Chiang Mai
3577,2024-02-12 21:00:00,5,5,Bangkok
3578,2024-02-12 22:00:00,4,4,Chiang Mai
3579,2024-02-12 22:00:00,5,5,Bangkok
3581,2024-02-12 23:00:00,5,5,Bangkok
3580,2024-02-12 23:00:00,5,5,Chiang Mai
3582,2024-02-13 00:00:00,4,5,Chiang Mai
3583,2024-02-13 00:00:00,5,5,Bangkok
3584,2024-02-13 01:00:00,5,5,Chiang Mai
3585,2024-02-13 01:00:00,5,5,Bangkok
3586,2024-02-13 02:00:00,5,5,Chiang Mai
3587,2024-02-13 02:00:00,5,5,Bangkok
3588,2024-02-13 03:00:00,3,4,Chiang Mai
3589,2024-02-13 03:00:00,3,3,Bangkok
3590,2024-02-13 04:00:00,5,5,Chiang Mai
3591,2024-02-13 04:00:00,5,4,Bangkok
3593,2024-02-13 05:00:00,4,4,Bangkok
3592,2024-02-13 05:00:00,4,4,Chiang Mai
3594,2024-02-13 06:00:00,5,5,Chiang Mai
3595,2024-02-13 06:00:00,5,5,Bangkok
3596,2024-02-13 07:00:00,3,3,Bangkok
3597,2024-02-13 07:00:00,2,2,Chiang Mai
3598,2024-02-13 08:00:00,3,3,Bangkok
3599,2024-02-13 08:00:00,1,1,Chiang Mai
3600,2024-02-13 09:00:00,5,5,Chiang Mai
3601,2024-02-13 09:00:00,5,5,Bangkok
3603,2024-02-13 10:00:00,4,4,Bangkok
3602,2024-02-13 10:00:00,4,5,Chiang Mai
3605,2024-02-13 11:00:00,5,5,Bangkok
3604,2024-02-13 11:00:00,5,5,Chiang Mai
3606,2024-02-13 12:00:00,4,4,Chiang Mai
3607,2024-02-13 12:00:00,1,1,Bangkok
3608,2024-02-13 13:00:00,5,5,Chiang Mai
3609,2024-02-13 13:00:00,4,4,Bangkok
3610,2024-02-13 14:00:00,5,5,Chiang Mai
3611,2024-02-13 14:00:00,5,5,Bangkok
3612,2024-02-13 15:00:00,4,4,Chiang Mai
3613,2024-02-13 15:00:00,5,4,Bangkok
3614,2024-02-13 16:00:00,5,5,Chiang Mai
3615,2024-02-13 16:00:00,5,5,Bangkok
3617,2024-02-13 17:00:00,5,5,Bangkok
3616,2024-02-13 17:00:00,3,3,Chiang Mai
3618,2024-02-13 18:00:00,2,2,Chiang Mai
3619,2024-02-13 18:00:00,5,5,Bangkok
3620,2024-02-13 19:00:00,3,3,Chiang Mai
3621,2024-02-13 19:00:00,3,3,Bangkok
3622,2024-02-13 20:00:00,5,5,Chiang Mai
3623,2024-02-13 20:00:00,4,5,Bangkok
3624,2024-02-13 21:00:00,3,5,Chiang Mai
3625,2024-02-13 21:00:00,3,3,Bangkok
3626,2024-02-13 22:00:00,5,5,Chiang Mai
3627,2024-02-13 22:00:00,5,5,Bangkok
3629,2024-02-13 23:00:00,5,5,Chiang Mai
3628,2024-02-13 23:00:00,5,4,Bangkok
3630,2024-02-14 00:00:00,3,3,Chiang Mai
3631,2024-02-14 00:00:00,3,4,Bangkok
3632,2024-02-14 01:00:00,5,5,Chiang Mai
3633,2024-02-14 01:00:00,4,3,Bangkok
3634,2024-02-14 02:00:00,3,3,Chiang Mai
3635,2024-02-14 02:00:00,5,5,Bangkok
3636,2024-02-14 03:00:00,4,4,Chiang Mai
3637,2024-02-14 03:00:00,3,2,Bangkok
3638,2024-02-14 04:00:00,5,4,Chiang Mai
3639,2024-02-14 04:00:00,5,5,Bangkok
3641,2024-02-14 05:00:00,5,3,Bangkok
3640,2024-02-14 05:00:00,2,3,Chiang Mai
3642,2024-02-14 06:00:00,4,4,Chiang Mai
3643,2024-02-14 06:00:00,5,5,Bangkok
3644,2024-02-14 07:00:00,4,4,Bangkok
3645,2024-02-14 07:00:00,5,5,Chiang Mai
