,datetime,true_aqi,predicted_aqi,city
106,2023-12-01 14:00:00,5,5,Bangkok
107,2023-12-01 14:00:00,5,5,Chiang Mai
108,2023-12-01 15:00:00,5,5,Chiang Mai
109,2023-12-01 15:00:00,3,3,Bangkok
110,2023-12-01 16:00:00,5,4,Bangkok
111,2023-12-01 16:00:00,4,4,Chiang Mai
113,2023-12-01 17:00:00,5,5,Chiang Mai
112,2023-12-01 17:00:00,5,5,Bangkok
114,2023-12-01 18:00:00,5,5,Bangkok
115,2023-12-01 18:00:00,4,4,Chiang Mai
116,2023-12-01 19:00:00,3,3,Chiang Mai
117,2023-12-01 19:00:00,5,5,Bangkok
118,2023-12-01 20:00:00,4,4,Bangkok
119,2023-12-01 20:00:00,4,4,Chiang Mai
120,2023-12-01 21:00:00,3,3,Chiang Mai
121,2023-12-01 21:00:00,5,5,Bangkok
122,2023-12-01 22:00:00,5,5,Bangkok
123,2023-12-01 22:00:00,1,1,Chiang Mai
125,2023-12-01 23:00:00,3,3,Chiang Mai
124,2023-12-01 23:00:00,5,5,Bangkok
126,2023-12-02 00:00:00,4,4,Bangkok
127,2023-12-02 00:00:00,5,5,Chiang Mai
128,2023-12-02 01:00:00,4,4,Bangkok
129,2023-12-02 01:00:00,5,5,Chiang Mai
130,2023-12-02 02:00:00,5,5,Bangkok
131,2023-12-02 02:00:00,5,5,Chiang Mai
132,2023-12-02 03:00:00,4,5,Chiang Mai
133,2023-12-02 03:00:00,5,5,Bangkok
134,2023-12-02 04:00:00,5,5,Bangkok
135,2023-12-02 04:00:00,2,2,Chiang Mai
137,2023-12-02 05:00:00,2,2,Chiang Mai
136,2023-12-02 05:00:00,5,5,Bangkok
138,2023-12-02 06:00:00,5,5,Bangkok
139,2023-12-02 06:00:00,1,1,Chiang Mai
140,2023-12-02 07:00:00,3,3,Bangkok
141,2023-12-02 07:00:00,5,5,Chiang Mai
142,2023-12-02 08:00:00,5,5,Bangkok
143,2023-12-02 08:00:00,5,5,Chiang Mai
144,2023-12-02 09:00:00,5,5,Bangkok
145,2023-12-02 09:00:00,5,5,Chiang Mai
146,2023-12-02 10:00:00,4,3,Bangkok
147,2023-12-02 10:00:00,4,4,Chiang Mai
148,2023-12-02 11:00:00,5,5,Chiang Mai
149,2023-12-02 11:00:00,5,4,Bangkok
151,2023-12-02 12:00:00,4,5,Chiang Mai
150,2023-12-02 12:00:00,5,5,Bangkok
152,2023-12-02 13:00:00,4,4,Bangkok
153,2023-12-02 13:00:00,4,5,Chiang Mai
154,2023-12-02 14:00:00,5,5,Bangkok
155,2023-12-02 14:00:00,5,5,Chiang Mai
156,2023-12-02 15:00:00,4,4,Chiang Mai
157,2023-12-02 15:00:00,5,5,Bangkok
158,2023-12-02 16:00:00,4,4,Bangkok
159,2023-12-02 16:00:00,5,5,Chiang Mai
160,2023-12-02 17:00:00,5,5,Bangkok
161,2023-12-02 17:00:00,3,2,Chiang Mai
163,2023-12-02 18:00:00,5,5,Chiang Mai
162,2023-12-02 18:00:00,4,4,Bangkok
164,2023-12-02 19:00:00,5,5,Chiang Mai
165,2023-12-02 19:00:00,5,5,Bangkok
166,2023-12-02 20:00:00,3,3,Bangkok
167,2023-12-02 20:00:00,5,5,Chiang Mai
168,2023-12-02 21:00:00,5,5,Chiang Mai
169,2023-12-02 21:00:00,4,5,Bangkok
170,2023-12-02 22:00:00,3,3,Bangkok
171,2023-12-02 22:00:00,4,4,Chiang Mai
172,2023-12-02 23:00:00,5,5,Chiang Mai
173,2023-12-02 23:00:00,5,5,Bangkok
174,2023-12-03 00:00:00,4,5,Bangkok
175,2023-12-03 00:00:00,4,4,Chiang Mai
177,2023-12-03 01:00:00,3,3,Chiang Mai
176,2023-12-03 01:00:00,3,2,Bangkok
178,2023-12-03 02:00:00,5,5,Bangkok
179,2023-12-03 02:00:00,2,2,Chiang Mai
180,2023-12-03 03:00:00,4,4,Chiang Mai
181,2023-12-03 03:00:00,3,4,Bangkok
182,2023-12-03 04:00:00,5,5,Bangkok
183,2023-12-03 04:00:00,5,5,Chiang Mai
184,2023-12-03 05:00:00,3,3,Bangkok
185,2023-12-03 05:00:00,5,5,Chiang Mai
186,2023-12-03 06:00:00,4,4,Bangkok
187,2023-12-03 06:00:00,2,2,Chiang Mai
189,2023-12-03 07:00:00,5,5,Chiang Mai
188,2023-12-03 07:00:00,4,4,Bangkok
190,2023-12-03 08:00:00,5,5,Bangkok
191,2023-12-03 08:00:00,4,4,Chiang Mai
192,2023-12-03 09:00:00,4,5,Bangkok
193,2023-12-03 09:00:00,4,4,Chiang Mai
194,2023-12-03 10:00:00,4,5,Bangkok
195,2023-12-03 10:00:00,4,4,Chiang Mai
196,2023-12-03 11:00:00,4,4,Chiang Mai
197,2023-12-03 11:00:00,4,4,Bangkok
198,2023-12-03 12:00:00,5,5,Bangkok
